",,Sala,Sala,Sala,Sala,Sala,Sala"
"Isaiah Roby\robyis01,OKC,$1782621,$1930681,,,,"
"Jaylen Nowell\nowelja01,MIN,$1782621,$1930681,,,,"
"Naz Reid\reidna01,MIN,$1782621,$1930681,,,,"
"Vlatko Cancar\cancavl01,DEN,$1782621,,,,,"
"Dean Wade\wadede01,CLE,$1782621,$1930681,,,,"
"Jalen McDaniels\mcdanja01,CHO,$1782621,$1930681,,,,"
"Drew Eubanks\eubandr01,TOR,$1762796,,,,,"
"Chimezie Metu\metuch01,SAC,$1762796,$1910860,,,,"
"Yuta Watanabe\watanyu01,TOR,$1762769,,,,,"
"Svi Mykhailiuk\mykhasv01,TOR,$1729217,$1878720,,,,"
"Keita Bates-Diop\bateske01,SAS,$1729217,$1878720,,,,"
"Moritz Wagner\wagnemo01,ORL,$1729217,$1878720,,,,"
"Thanasis Antetokounmpo\antetth01,MIL,$1729217,$1878720,,,,"
"Isaac Bonga\bongais01,TOR,$1729217,,,,,"
"Isaiah Hartenstein\harteis01,LAC,$3430810,,,,,"
"Juan Toscano-Anderson\toscaju01,GSW,$1701593,,,,,"
"Moses Brown\brownmo01,DAL,$1720779,,,,,"
"Oshae Brissett\brissos01,IND,$1701593,$1846738,,,,"
"Isaiah Hartenstein\harteis01,CLE,$3430810,,,,,"
"Herbert Jones\joneshe01,NOP,$1700000,$1785000,$1836096,,,"
"Gabriel Deck\deckga01,OKC,$1690507,,,,,"
"Jordan McLaughlin\mclaujo01,MIN,$1669178,$1815677,$1968182,,,"
"Javonte Green\greenja02,CHI,$1669178,$1815677,,,,"
"Max Strus\strusma01,MIA,$1669178,$1815677,,,,"
"Gabe Vincent\vincega01,MIA,$1669178,$1815677,,,,"
"Kevin Pangos\pangoke01,CLE,$1669178,,,,,"
"Matt Thomas\thomama02,CHI,$1669178,,,,,"
"Vernon Carey Jr.\careyve01,WAS,$1517981,$1782621,$1930681,,,"
"Xavier Tillman Sr.\tillmxa01,MEM,$1517981,$1782621,$1930681,,,"
"Tyrell Terry\terryty01,DAL,$1517981,$1782621,,,,"
"Tre Jones\jonestr01,SAS,$1517981,$1782621,,,,"
"Robert Woodard II\woodaro01,SAC,$1517981,,,,,"
"Jahmi'us Ramsey\ramseja01,SAC,$1517981,,,,,"
"CJ Elleby\ellebcj01,POR,$1517981,,,,,"
"Elijah Hughes\hugheel01,POR,$1517981,,,,,"
"Isaiah Joe\joeis01,PHI,$1517981,$1782621,,,,"
"Naji Marshall\marshna01,NOP,$1517981,$1782621,$1930681,,,"
"Jordan Nwora\nworajo01,MIL,$1517981,,,,,"
"Nick Richards\richani01,CHO,$1517981,$1782621,,,,"
"Anthony Gill\gillan01,WAS,$1517981,,,,,"
"Paul Reed\reedpa01,PHI,$1517981,$1782621,,,,"
"Kenyon Martin Jr.\martike04,HOU,$1517981,$1782621,$1930681,,,"
"Jae'Sean Tate\tateja01,HOU,$1517981,$1782621,,,,"
"Lamar Stevens\stevela01,CLE,$1517981,$1782621,$1930681,,,"
"Isaiah Todd\toddis01,WAS,$1500000,$1563518,$1836096,$1988598,,"
"Jose Alvarado\alvarjo01,NOP,$1500000,$1563518,$1836096,$1988598,,"
"Saben Lee\leesa01,DET,$1489065,$1752638,$1902137,,,"
"Omer Yurtseven\yurtsom01,MIA,$1489065,$1752638,,,,"
"Armoni Brooks\brookar01,HOU,$1625991,$1752638,,,,"
"J.R. Smith\smithjr01,CLE,$1456666,,,,,"
"Danuel House Jr.\houseda01,HOU,$2045094,,,,,"
"Bismack Biyombo\biyombi01,PHO,$1366392,,,,,"
"George Hill\hillge01,PHI,$4000000,$4000000,,,,"
"DeMarre Carroll\carrode01,SAS,$1252127,,,,,"
"JT Thor\thorjt01,CHO,$1250000,$1563518,$1836096,$1988598,,"
"Garrison Mathews\mathega01,HOU,$1093598,$1815677,$1968182,$2230253,,"
"Alfonzo McKinnie\mckinal01,CHI,$1090007,,,,,"
"Jabari Parker\parkeja01,BOS,$1068288,,,,,"
"Jason Preston\prestja01,LAC,$1062303,$1563518,$1836096,,,"
"Isaiah Livers\liveris01,DET,$1057260,$1563518,$1836096,,,"
"Guerschon Yabusele\yabusgu01,BOS,$1039080,,,,,"
"Aaron Wiggins\wiggiaa01,OKC,$1000000,$1563518,$1836096,$1988598,,"
"Tristan Thompson\thomptr01,CHI,$10720900,,,,,"
"Kyle Singler\singlky01,OKC,$999200,$999200,,,,"
"Marquese Chriss\chrisma01,DAL,$958529,$2193920,,,,"
"Jared Butler\butleja02,UTA,$925258,$1563518,,,,"
"Greg Brown III\browngr01,POR,$925258,$1563518,$1836096,,,"
"Miles McBride\mcbrimi01,NYK,$925258,$1563518,$1836096,,,"
"Brandon Boston Jr.\bostobr01,LAC,$925258,$1563518,$1836096,,,"
"Marko Simonovic\simonma01,CHI,$925258,$1563518,$1836096,,,"
"Vit Krejci\krejcvi01,OKC,$925258,$1563518,$1836096,$1988598,,"
"Charles Bassey\bassech01,PHI,$925258,$1563518,$1836096,,,"
"Dalano Banton\bantoda01,TOR,$925258,$1563518,,,,"
"Jock Landale\landajo01,SAS,$925258,$1563518,,,,"
"Ayo Dosunmu\dosunay01,CHI,$925258,$1563518,,,,"
"Austin Reaves\reaveau01,LAL,$925258,,,,,"
"Luka Garza\garzalu01,DET,$925258,,,,,"
"Lance Stephenson\stephla01,IND,$924730,,,,,"
"Stanley Johnson\johnsst04,LAL,$888616,$2351521,,,,"
"Miye Oni\onimi01,OKC,$850331,,,,,"
"Wayne Selden\seldewa01,NYK,$785102,,,,,"
"Goran Dragic\dragigo01,BRK,$20168742,,,,,"
"Brad Wanamaker\wanambr01,IND,$705598,,,,,"
"Alize Johnson\johnsal02,CHI,$705598,,,,,"
"DeMarcus Cousins\couside01,DEN,$1290481,,,,,"
"Shaun Livingston\livinsh01,GSW,$666666,,,,,"
"Sam Merrill\merrisa01,MEM,$663024,,,,,"
"Danuel House Jr.\houseda01,UTA,$2045094,,,,,"
"D.J. Augustin\augusdj01,LAL,$7622467,$333333,,,,"
"DeMarcus Cousins\couside01,MIL,$1290481,,,,,"
"Luke Kornet\kornelu01,BOS,$606702,,,,,"
"DeAndre' Bembry\bembrde01,MIL,$2541217,,,,,"
"DeAndre Jordan\jordade01,PHI,$11109327,$7827907,,,,"
"Ryan Arcidiacono\arcidry01,NYK,$586136,,,,,"
"Keifer Sykes\sykeske01,IND,$558345,,,,,"
"Caleb Martin\martica02,MIA,$527614,,,,,"
""
"Georgios Kalaitzakis\kalaige01,MIL,$462629,,,,,"
"Jevon Carter\carteje01,MIL,$4107149,$3925000,,,,"
"Gary Clark\clarkga01,NOP,$377645,,,,,"
"Devontae Cacok\cacokde01,SAS,$364533,,,,,"
"Sam Dekker\dekkesa01,TOR,$350000,,,,,"
"Sam Hauser\hausesa01,BOS,$313737,$1563518,,,,"
"Admiral Schofield\schofad01,OKC,,,,,,"
"Daishen Nix\nixda01,HOU,$292466,$1563518,$1836096,$1988598,,"
"Haywood Highsmith\highsha01,MIA,$290967,$1752638,$1902137,,,"
"Isaiah Thomas\thomais02,CHO,$276039,,,,,"
"Trendon Watford\watfotr01,POR,$260561,$1563518,$1836096,$1988598,,"
"Ish Wainright\wainris01,TOR,$8558,,,,,"
"Malik Fitts\fittsma01,BOS,$231062,$1752638,,,,"
"Joe Wieskamp\wieskjo01,SAS,$202068,,,,,"
"Amir Coffey\coffeam01,LAC,$153488,,,,,"
"Bismack Biyombo\biyombi01,PHO,$1366392,,,,,"
"DeMarcus Cousins\couside01,DEN,$1290481,,,,,"
"DeMarcus Cousins\couside01,DEN,$1290481,,,,,"
"DeMarcus Cousins\couside01,DEN,$1290481,,,,,"
"Lance Stephenson\stephla01,IND,$924730,,,,,"
"Lance Stephenson\stephla01,IND,$924730,,,,,"
"Lance Stephenson\stephla01,IND,$924730,,,,,"
"Lance Stephenson\stephla01,IND,$924730,,,,,"
"Isaiah Thomas\thomais02,CHO,$276039,,,,,"
"Isaiah Thomas\thomais02,CHO,$276039,,,,,"
"Brandon Knight\knighbr03,DAL,,,,,,"
"Brandon Knight\knighbr03,DAL,,,,,,"
"Greg Monroe\monrogr01,MIN,$55208,,,,,"
"Greg Monroe\monrogr01,WAS,$55208,,,,,"
"Greg Monroe\monrogr01,UTA,$55208,,,,,"
"Greg Monroe\monrogr01,MIL,$55208,,,,,"
"Isaiah Thomas\thomais02,DAL,$276039,,,,,"
"Lance Stephenson\stephla01,ATL,$924730,,,,,"
"Armoni Brooks\brookar01,TOR,$1625991,$1752638,,,,"
"Isaiah Thomas\thomais02,LAL,$276039,,,,,"
"Troy Williams\willitr02,HOU,$122741,$122741,,,,"
"Stanley Johnson\johnsst04,LAL,$888616,$2351521,,,,"
"Stanley Johnson\johnsst04,LAL,$888616,$2351521,,,,"
"Stanley Johnson\johnsst04,LAL,$888616,$2351521,,,,"
"Stanley Johnson\johnsst04,CHI,$888616,$2351521,,,,"
"Marquese Chriss\chrisma01,DAL,$958529,$2193920,,,,"
"Marquese Chriss\chrisma01,DAL,$958529,$2193920,,,,"
"Marquese Chriss\chrisma01,DAL,$958529,$2193920,,,,"
"Danuel House Jr.\houseda01,UTA,$2045094,,,,,"
"Danuel House Jr.\houseda01,UTA,$2045094,,,,,"
"Danuel House Jr.\houseda01,UTA,$2045094,,,,,"
"Danuel House Jr.\houseda01,NYK,$2045094,,,,,"
"Nik Stauskas\stausni01,MIA,,,,,,"
"Ryan Arcidiacono\arcidry01,NYK,$586136,,,,,"
"Ryan Arcidiacono\arcidry01,NYK,$586136,,,,,"
"Luke Kornet\kornelu01,MIL,$606702,,,,,"
"Luke Kornet\kornelu01,CLE,$606702,,,,,"
"Alfonzo McKinnie\mckinal01,CHI,$1090007,,,,,"
"Alfonzo McKinnie\mckinal01,CHI,$1090007,,,,,"
"Jabari Parker\parkeja01,BOS,$1068288,,,,,"
"Devin Cannady\cannade01,ORL,$100000,$1752638,$1902137,,,"
"Drew Eubanks\eubandr01,POR,$1762796,,,,,"
"Drew Eubanks\eubandr01,POR,$1762796,,,,,"
"Drew Eubanks\eubandr01,POR,$1762796,,,,,"
"Drew Eubanks\eubandr01,POR,$1762796,,,,,"
"Drew Eubanks\eubandr01,POR,$1762796,,,,,"
"Alize Johnson\johnsal02,NOP,$705598,,,,,"
"Alize Johnson\johnsal02,NOP,$705598,,,,,"
"Wenyen Gabriel\gabriwe01,LAC,$29814,$1878720,,,,"
"Wenyen Gabriel\gabriwe01,LAC,$29814,$1878720,,,,"
"Theo Pinson\pinsoth01,DAL,,,,,,"
"Brad Wanamaker\wanambr01,WAS,$705598,,,,,"
"Alize Johnson\johnsal02,WAS,$705598,,,,,"
"Wenyen Gabriel\gabriwe01,NOP,$29814,$1878720,,,,"
"Brandon Goodwin\goodwbr01,CLE,,,,,,"
"Wenyen Gabriel\gabriwe01,BRK,$29814,$1878720,,,,"
"Theo Pinson\pinsoth01,DAL,,,,,,"
"Davon Reed\reedda01,DEN,,,,,,"
"Davon Reed\reedda01,DEN,,,,,,"
"Moses Brown\brownmo01,CLE,$1720779,,,,,"
"Moses Brown\brownmo01,CLE,$1720779,,,,,"
"Kelan Martin\martike03,BOS,,,,,,"
"Kelan Martin\martike03,BOS,,,,,,"
"Juwan Morgan\morgaju01,BOS,$19186,$1815677,,,,"
"Juwan Morgan\morgaju01,TOR,$19186,$1815677,,,,"
"Charlie Brown Jr.\brownch02,PHI,,,,,,"
"Miye Oni\onimi01,NOP,$850331,,,,,"
"Jared Harper\harpeja01,NOP,,,,,,"
"Rayjon Tucker\tuckera01,MIN,$28779,$1815677,$1968182,,,"
"Quinndary Weatherspoon\weathqu01,GSW,,,,,,"
"Rayjon Tucker\tuckera01,DEN,$28779,$1815677,$1968182,,,"
"Charlie Brown Jr.\brownch02,DAL,,,,,,"
"Davon Reed\reedda01,DEN,,,,,,"
"Demetrius Jackson\jacksde01,BOS,$92857,$92857,$92857,,,"
"Haywood Highsmith\highsha01,MIA,$290967,$1752638,$1902137,,,"
"Haywood Highsmith\highsha01,MIA,$290967,$1752638,$1902137,,,"
"Haywood Highsmith\highsha01,MIA,$290967,$1752638,$1902137,,,"
"Malik Fitts\fittsma01,BOS,$231062,$1752638,,,,"
"Malik Fitts\fittsma01,BOS,$231062,$1752638,,,,"
"Armoni Brooks\brookar01,TOR,$1625991,$1752638,,,,"
"Armoni Brooks\brookar01,TOR,$1625991,$1752638,,,,"
"Devin Cannady\cannade01,ORL,$100000,$1752638,$1902137,,,"
"Admiral Schofield\schofad01,ORL,,,,,,"
"Anthony Lamb\lamban01,SAS,,,,,,"
"Tyrell Terry\terryty01,MEM,$1517981,$1782621,,,,"
"Nate Hinton\hintona01,IND,,,,,,"
"Admiral Schofield\schofad01,ORL,,,,,,"
"Carsen Edwards\edwarca01,DET,$76744,$1815677,,,,"
"RJ Nembhard Jr.\nembhrj01,CLE,$58493,,,,,"
"Greg Monroe\monrogr01,MIN,$55208,,,,,"
"Xavier Moon\moonxa01,LAC,,,,,,"
"Xavier Moon\moonxa01,LAC,,,,,,"
"Xavier Moon\moonxa01,LAC,,,,,,"
"Mac McClung\mccluma01,CHI,,,,,,"
"Mac McClung\mccluma01,CHI,,,,,,"
"Jordan Schakel\schakjo01,WAS,,,,,,"
"Brandon Williams\willibr03,POR,,,,,,"
"Braxton Key\keybr01,PHI,,,,,,"
"Georgios Kalaitzakis\kalaige01,OKC,$462629,,,,,"
"Feron Hunt\huntfe01,NOP,,,,,,"
"Xavier Sneed\sneedxa01,MEM,,,,,,"
"Moses Wright\wrighmo01,LAC,,,,,,"
"Braxton Key\keybr01,DET,,,,,,"
"Malcolm Hill\hillma01,CHI,,,,,,"
"Chaundee Brown Jr.\brownch05,ATL,,,,,,"
"Malcolm Hill\hillma01,ATL,,,,,,"
"Luca Vildoza\vildolu01,MIL,$51347,$1752638,,,,"
"Skylar Mays\mayssk01,ATL,$34231,,,,,"
"Wenyen Gabriel\gabriwe01,LAL,$29814,$1878720,,,,"
"Rayjon Tucker\tuckera01,MIL,$28779,$1815677,$1968182,,,"
"Terry Taylor\taylote01,IND,$21270,$1563518,,,,"
"Duane Washington Jr.\washidu02,IND,$21270,$1563518,,,,"
"Moses Brown\brownmo01,CLE,$1720779,,,,,"
"Juwan Morgan\morgaju01,BOS,$19186,$1815677,,,,"
"Trent Forrest\forretr01,UTA,$8558,,,,,"
"Ish Wainright\wainris01,PHO,$8558,,,,,"
"Kessler Edwards\edwarke02,BRK,$5318,$1563518,,,,"
