Rk,Player,Pos,Age,Tm,G,MP,PERâ–¼,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
30,Mitchell Robinson,C,23,NYK,72,1848,20.7,0.722,0,0.528,16.8,19.1,17.9,3.2,1.6,7.1,12.4,11.4,,5.3,3.2,8.5,0.221,,1,1.2,2.2,2
31,Pascal Siakam,PF,27,TOR,68,2578,20.3,0.565,0.181,0.314,5.1,20.1,12.2,23,1.6,1.6,11.6,25.8,,4.9,3.2,8.1,0.151,,2.7,0.8,3.5,3.6
32,Zach LaVine,SF,26,CHI,67,2328,20,0.605,0.401,0.316,1.1,13.8,7.4,20.8,0.9,0.9,11.2,28.8,,4.5,1.3,5.8,0.12,,3.9,-1.5,2.4,2.6
33,Jusuf NurkiÄ‡,C,27,POR,56,1579,20,0.586,0.093,0.447,11.2,32.6,21.5,16.6,1.9,2.1,16.6,23.6,,2,1.7,3.6,0.11,,0.1,0.2,0.3,0.9
34,Jrue Holiday,PG,31,MIL,67,2207,19.8,0.593,0.336,0.189,3.4,10.9,7.2,31.8,2.4,1.3,15,23.5,,4.5,2.4,6.9,0.15,,2.9,0.3,3.2,2.9
35,LaMelo Ball,PG,20,CHO,75,2422,19.7,0.554,0.451,0.194,4.7,17.4,11,35.7,2.4,1.2,15.3,28.2,,3.4,2.5,5.8,0.116,,3.3,0.2,3.4,3.3
36,Kevin Love,PF,33,CLE,74,1665,19.6,0.594,0.627,0.26,5.9,29.2,17.8,15.3,0.8,1,10.4,25.1,,3.2,2.5,5.7,0.164,,4.3,0.1,4.5,2.7
37,Ivica Zubac,C,24,LAC,76,1852,19.2,0.66,0,0.459,12.8,23.7,18.4,9.8,1,3.5,16.1,16.8,,4.3,2.9,7.2,0.187,,-0.1,0.8,0.7,1.3
38,Christian Wood,C,26,HOU,68,2094,19.1,0.595,0.383,0.378,5.7,30.4,18,12.2,1.2,2.8,11,23.3,,2.9,2,4.9,0.112,,2.1,-0.4,1.6,1.9
39,Darius Garland,PG,22,CLE,68,2430,19,0.576,0.387,0.205,1.8,8.2,5.1,39.9,1.8,0.3,16.2,27.8,,3.8,2.5,6.3,0.125,,3.4,-0.8,2.6,2.8
40,Jaylen Brown,SF,25,BOS,66,2220,18.9,0.574,0.381,0.261,2.6,16.7,9.8,17.9,1.6,0.7,11.6,30.5,,2.3,3.4,5.8,0.124,,1.9,0.1,2.1,2.2
41,John Collins,PF,24,ATL,54,1663,18.7,0.61,0.273,0.262,6.2,21.5,13.9,8.9,1,3,7.7,20.5,,3.6,1.4,5.1,0.146,,1.5,0,1.5,1.5
42,Brandon Ingram,SF,24,NOP,55,1869,18.7,0.554,0.23,0.328,2,17.3,9.5,27.8,0.9,1.3,11.8,29.3,,2.5,1.3,3.9,0.099,,2.6,-0.6,2,1.9
43,Wendell Carter Jr.,C,22,ORL,62,1852,18.4,0.601,0.313,0.303,7.9,29.1,18.5,15.4,0.9,2.1,13.1,20.9,,2.6,2.4,5,0.129,,1,0.6,1.6,1.7
44,CJ McCollum,SG,30,TOT,62,2145,18.3,0.553,0.403,0.146,2.6,11.5,6.9,26.1,1.6,1,9.3,27.5,,2.6,1,3.6,0.081,,3.2,-1.3,1.9,2.1
45,Tyrese Haliburton,SG-PG,21,TOT,77,2695,18.2,0.595,0.428,0.209,2.5,10.3,6.3,34.1,2.4,1.6,16.7,19,,5.2,1.8,7,0.125,,2.7,-0.1,2.6,3.1
46,Nikola VuÄeviÄ‡,C,31,CHI,73,2418,18.2,0.533,0.287,0.105,6.6,30.7,18.7,15.2,1.4,2.5,10.1,24.5,,1.4,3.2,4.5,0.09,,0.8,0.1,0.9,1.8
47,Khris Middleton,SF,30,MIL,66,2141,18.1,0.577,0.425,0.285,2.1,15.3,8.8,25.5,1.7,0.8,14.2,26.7,,3.2,2.2,5.3,0.119,,1.9,-0.3,1.6,1.9
48,Dwight Powell,C,30,DAL,82,1798,18.1,0.725,0.092,0.529,10.7,14.3,12.5,8.1,1,2,11.5,14,,6,2.2,8.2,0.219,,0.4,0.5,0.9,1.3
49,Chris Boucher,PF,29,TOR,80,1690,17.9,0.57,0.397,0.334,10.9,21.3,15.8,2.2,1.4,4.3,6,17.8,,3.5,2.4,6,0.169,,0.5,-0.4,0,0.9
50,Miles Bridges,PF,23,CHO,80,2837,17.9,0.593,0.383,0.274,3.3,17.8,10.4,15.7,1.3,2.2,9.9,22.6,,5,2.3,7.2,0.123,,1.8,-0.3,1.5,2.5
51,Bobby Portis,C,26,MIL,72,2028,17.7,0.571,0.388,0.13,9.6,24.4,17.2,6.4,1.3,2.4,8.9,21.3,,2.9,2.6,5.5,0.131,,1.2,-1,0.2,1.1
52,Steven Adams,C,28,MEM,76,1999,17.6,0.56,0.003,0.518,17.9,22,19.9,16.1,1.6,2.7,19.6,12,,3.8,3,6.8,0.163,,1,1,2,2
53,Desmond Bane,SF,23,MEM,76,2266,17.6,0.592,0.475,0.141,2.1,13.6,7.7,13.5,1.9,1.1,8.7,23.1,,4.5,2.7,7.2,0.153,,2.5,0.3,2.7,2.7
54,Terry Rozier,SG,27,CHO,73,2458,17.6,0.566,0.508,0.151,2.4,11.3,6.8,19.7,1.8,1,7.2,23.2,,4.3,1.6,5.9,0.115,,2.4,-0.7,1.7,2.3
55,De'Aaron Fox,PG,24,SAC,59,2083,17.4,0.549,0.228,0.319,1.3,10.9,6,26.8,1.6,1,11.9,29.1,,1.5,1,2.5,0.058,,0.6,-1.2,-0.6,0.7
