Rk,Player,Pos,Age,Tm,G,MP,PERâ–¼,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
128,Dennis SchrÃ¶der,SG-PG,28,TOT,64,1837,13,0.539,0.345,0.254,2,10.5,6.3,24.2,1.4,0.4,15.1,22.6,,1,1.9,2.9,0.076,,-1.5,-0.4,-1.9,0
129,Oshae Brissett,SF,23,IND,67,1564,12.9,0.53,0.468,0.324,7.6,18.1,12.8,6.4,1.4,1.6,8.5,17.3,,1.4,0.9,2.2,0.069,,-0.5,-1.7,-2.2,-0.1
130,Buddy Hield,SG,29,TOT,81,2499,12.9,0.548,0.652,0.116,2.9,12.8,7.8,13.8,1.4,0.9,11.7,22.4,,0.8,1.1,1.9,0.036,,0.5,-1.7,-1.2,0.5
131,Josh Richardson,SG,28,TOT,65,1600,12.8,0.573,0.461,0.202,2.8,9.4,6.2,10.1,1.7,1.6,10.2,17.6,,1.6,2,3.5,0.106,,-0.6,0.7,0.1,0.9
132,Precious Achiuwa,C,22,TOR,73,1725,12.7,0.503,0.259,0.217,8.7,21.7,14.9,6.9,1.1,2.3,11.3,18.5,,0.4,2.1,2.5,0.07,,-2,-0.6,-2.6,-0.2
133,Grayson Allen,SG,26,MIL,66,1805,12.7,0.609,0.684,0.13,1.9,10.9,6.5,7.6,1.2,1,6.7,15.2,,2.8,1.4,4.2,0.11,,0.6,-0.2,0.5,1.1
134,Cody Martin,SF,26,CHO,71,1866,12.7,0.579,0.376,0.253,4.6,11.7,8.1,12.4,2.3,1.6,11.5,12.1,,2.4,1.5,3.9,0.101,,-1.2,0.7,-0.5,0.7
135,Max Strus,SF,25,MIA,68,1587,12.7,0.614,0.784,0.094,1.7,12.5,7.2,8.8,0.9,1.1,8.8,18.1,,2,1.7,3.6,0.11,,1.4,-0.4,0.9,1.2
136,Darius Bazley,PF,21,OKC,69,1924,12.6,0.515,0.414,0.262,3.7,19.8,11.6,7.7,1.5,3.4,11.1,18.3,,-0.5,2.2,1.8,0.044,,-2.1,0.3,-1.8,0.1
137,Kentavious Caldwell-Pope,SG,28,WAS,77,2329,12.6,0.568,0.492,0.186,2,10.3,6.2,9.1,1.8,0.9,9.8,19,,1.4,1.4,2.8,0.058,,-0.9,-0.6,-1.5,0.3
138,Coby White,PG,21,CHI,61,1675,12.6,0.564,0.548,0.141,1.1,11,6.1,15,0.8,0.6,9.3,19.8,,1.6,0.8,2.4,0.067,,-0.4,-1.7,-2.1,0
139,Dorian Finney-Smith,PF,28,DAL,80,2644,12.5,0.604,0.629,0.12,5.1,10.7,7.9,8.2,1.7,1.3,9.9,13.8,,3.4,3.2,6.6,0.121,,0.1,0.7,0.8,1.9
140,Jalen Green,SG,19,HOU,67,2138,12.5,0.547,0.48,0.247,1.7,10,5.8,13.1,1,0.8,11.3,23.7,,0.5,0.2,0.7,0.015,,-0.5,-2.4,-2.9,-0.5
141,Jeff Green,C,35,DEN,75,1849,12.5,0.627,0.318,0.374,2.6,11.1,7,7.3,0.7,1.3,10.3,16.3,,2.7,1.2,3.9,0.101,,-1.2,-1.2,-2.5,-0.2
142,Robert Covington,PF-SF,31,TOT,71,1940,12.4,0.572,0.681,0.139,3.3,18.9,11,6.8,2.6,4.4,12.4,13.5,,0.8,2.4,3.2,0.08,,-1.6,1.8,0.2,1.1
143,Luguentz Dort,SF,22,OKC,51,1665,12.3,0.541,0.539,0.263,2.3,10.9,6.5,8.6,1.3,1,9.8,23.3,,0.2,1.1,1.4,0.04,,-1.5,-0.7,-2.3,-0.1
144,Chris Duarte,SG,24,IND,55,1541,12.3,0.537,0.411,0.18,2.9,13.6,8.2,10.9,1.8,0.6,11.8,21.1,,0.2,0.7,0.9,0.029,,-1.2,-1.1,-2.3,-0.1
145,Evan Fournier,SG,29,NYK,80,2358,12.3,0.554,0.641,0.117,1.5,8.2,4.8,11.9,1.7,0.8,9.4,20.8,,1.5,2.2,3.7,0.075,,-0.4,-0.3,-0.7,0.7
146,Herbert Jones,PF,23,NOP,78,2335,12.3,0.573,0.293,0.283,4.5,9.6,7,10,2.7,2.5,13.4,13.7,,2.1,2.5,4.6,0.096,,-2,1.5,-0.5,0.9
147,Lonnie Walker IV,SG,23,SAS,70,1612,12.3,0.512,0.462,0.194,1.2,10.7,5.9,13.4,1.3,1,7.9,23.6,,0.1,1.1,1.2,0.037,,-1.2,-1.3,-2.5,-0.2
148,Eric Gordon,SG,33,HOU,57,1669,12.1,0.614,0.534,0.239,1,6.5,3.7,14.1,0.8,1,14.6,18.6,,1.5,-0.1,1.4,0.04,,-0.1,-2.2,-2.3,-0.1
149,Devonte' Graham,PG,26,NOP,76,2162,12.1,0.514,0.691,0.172,1.9,7.3,4.5,21,1.6,0.5,10.7,19.5,,1.6,1.2,2.8,0.062,,0.2,-1.2,-1,0.5
150,Reggie Jackson,SG,31,LAC,75,2337,12.1,0.488,0.419,0.133,1.8,10.2,6.1,24.6,1.2,0.5,11.8,27.6,,-1.7,2,0.4,0.008,,-1.4,-1.6,-2.9,-0.6
151,Chuma Okeke,PF,23,ORL,70,1749,12,0.501,0.645,0.113,2.8,18.2,10.5,10.1,2.7,2.2,8.6,16.4,,-0.3,2.5,2.2,0.06,,-1.6,1.5,-0.1,0.8
152,Malik Beasley,SG,25,MIN,79,1976,11.9,0.544,0.749,0.071,1.4,11.2,6.2,8.5,1,0.6,4.7,19.4,,1.7,1.2,2.9,0.069,,0.7,-1.5,-0.7,0.7
153,Kevin Huerter,SG,23,ATL,74,2188,11.9,0.57,0.541,0.068,1.6,11,6.4,13.2,1.2,1.1,10.4,17.5,,1.8,1,2.8,0.062,,-0.5,-0.7,-1.2,0.4
154,Deni Avdija,SF,21,WAS,82,1984,11.6,0.536,0.447,0.235,3,20.5,11.9,11.8,1.5,1.9,12,16.3,,0.6,1.8,2.4,0.058,,-2.1,0.4,-1.7,0.1
155,Cory Joseph,PG,30,DET,65,1600,11.4,0.579,0.393,0.283,1.9,10.3,5.9,21.8,1.3,1,15.9,14.3,,1.7,0.8,2.5,0.075,,-2,-0.1,-2.1,0
156,Jae Crowder,PF,31,PHO,67,1886,11.3,0.541,0.671,0.165,1.8,18,10.1,8.3,2.4,1.4,8.6,14.6,,0.9,3.4,4.3,0.11,,-1.3,2.4,1.1,1.5
157,P.J. Tucker,PF,36,MIA,71,1981,11.3,0.593,0.451,0.143,5.8,16.2,11.1,10.6,1.5,0.8,12.7,11.7,,2.4,2.6,5,0.121,,-0.8,1.4,0.6,1.3
158,Ayo Dosunmu,SG,22,CHI,77,2110,11.2,0.596,0.348,0.146,1.4,9.9,5.7,16.5,1.4,1.2,15.9,14.1,,1.7,1.3,3,0.069,,-1.9,-0.1,-2,0
159,Matisse Thybulle,SG,24,PHI,66,1685,11.2,0.594,0.48,0.143,2.8,7.1,5,6.1,3.4,3.8,10.9,9.5,,1.2,2.5,3.7,0.107,,-2.2,3.3,1.1,1.3
160,Grant Williams,PF,23,BOS,77,1875,11.2,0.635,0.597,0.22,3.8,11.8,7.9,5.7,1,2.8,11.6,12.6,,2.4,2.6,5.1,0.13,,-1.4,1.1,-0.4,0.8
161,Torrey Craig,SF,31,TOT,78,1596,11,0.556,0.531,0.118,5.9,15.4,10.7,7.6,1.4,2,12.6,14.3,,0.9,1.4,2.3,0.07,,-1.7,-0.1,-1.8,0.1
162,Talen Horton-Tucker,SG,21,LAL,60,1511,11,0.503,0.338,0.232,2.6,11.1,6.9,14.9,1.9,1.7,12.1,19.2,,-0.2,1.2,1.1,0.033,,-3.2,-0.2,-3.3,-0.5
163,Garrison Mathews,SG,25,HOU,65,1712,11,0.602,0.837,0.39,2,10.2,6.1,5.3,1.6,1.3,7.1,14.4,,2.2,0.5,2.8,0.078,,-1.3,-1,-2.3,-0.1
164,Gary Harris,SG,27,ORL,61,1730,10.9,0.571,0.546,0.172,2.2,5.3,3.7,9.5,1.6,0.5,9.3,16.4,,1.1,1,2.2,0.06,,-2,-0.4,-2.4,-0.2
165,Corey Kispert,SF,22,WAS,77,1801,10.9,0.586,0.623,0.121,3.3,9.4,6.4,6.7,1,1,8.5,14.6,,1.6,0.7,2.3,0.061,,-0.8,-1.5,-2.3,-0.1
166,Davion Mitchell,PG,23,SAC,75,2076,10.8,0.489,0.38,0.101,1.7,7,4.4,22.5,1.3,1,11.5,20.6,,-0.5,0.6,0.1,0.003,,-2.1,-1.7,-3.8,-0.9
167,Georges Niang,PF,28,PHI,76,1736,10.7,0.594,0.687,0.105,1.6,11.3,6.5,8.7,0.9,0.7,9.1,16.8,,1.5,1.3,2.8,0.077,,-0.8,-1.1,-1.9,0
168,De'Andre Hunter,SF,24,ATL,53,1577,10.6,0.547,0.339,0.289,1.8,10.4,6.1,6.1,1.1,1.2,9.6,19.9,,0.4,0.7,1.1,0.034,,-2.4,-1.5,-3.9,-0.8
169,Duncan Robinson,SG,27,MIA,79,2043,10.6,0.573,0.86,0.084,1.4,9.8,5.6,9.3,1,0.7,7.4,17.7,,1.9,2,3.9,0.092,,-0.3,-0.3,-0.6,0.7
170,Gabe Vincent,PG,25,MIA,68,1589,10.6,0.551,0.63,0.105,1.6,7.3,4.5,19.4,2,0.8,15.4,17.8,,0.7,1.9,2.5,0.076,,-1.9,0.5,-1.4,0.2
171,Patty Mills,PG,33,BRK,81,2346,10.4,0.563,0.715,0.074,0.9,6.2,3.6,10.6,1.1,0.6,8.2,16.4,,1.9,0.9,2.8,0.058,,-0.3,-1.4,-1.7,0.2
172,Isaac Okoro,SF,21,CLE,67,1981,10.4,0.589,0.364,0.36,4.1,7.1,5.6,8.5,1.4,1,10.4,12.4,,2.4,1.9,4.2,0.103,,-2.4,0.7,-1.7,0.1
173,Jaden McDaniels,PF,21,MIN,70,1803,10.3,0.553,0.455,0.128,4.4,13.2,8.7,6.1,1.4,2.9,11.4,15.3,,0.7,1.7,2.4,0.065,,-2.9,-0.1,-2.9,-0.4
174,Royce O'Neale,SF,28,UTA,77,2406,10.3,0.608,0.689,0.126,3,13.4,8.4,10.5,1.8,1.2,14.4,9.9,,2.7,2.8,5.5,0.109,,-0.8,1.7,0.8,1.7
175,Justin Holiday,SF-SG,32,TOT,74,2057,9.5,0.543,0.728,0.094,1.5,8.8,5.1,8.6,1.3,1.4,9.2,15.8,,0.8,0.6,1.4,0.033,,-1.4,-0.8,-2.2,-0.1
176,Killian Hayes,PG,20,DET,66,1647,9.3,0.461,0.364,0.161,2.2,12,6.9,24.6,2.3,1.9,18.4,15.7,,-1,1.5,0.5,0.014,,-4.3,0.8,-3.5,-0.6
177,Reggie Bullock,SF,30,DAL,68,1902,9.2,0.558,0.782,0.096,1.9,12.2,7,6.1,1.1,0.7,7.1,13.3,,1.2,2,3.2,0.08,,-1.4,0,-1.4,0.3
