,,,Salary,,,,,,,
41,Kyle Lowry,MIA,"$26,984,128","$28,333,334","$29,682,540",,,,Bird,"$85,000,002"
42,Kemba Walker,OKC,"$34,967,442","$36,596,549",,,,,,"$53,669,500"
43,DeMar DeRozan,CHI,"$26,000,000","$27,300,000","$28,600,000",,,,Sign and Trade,"$81,900,000"
44,Jaylen Brown,BOS,"$24,830,357","$26,669,643","$28,508,929",,,,1st Round pick,"$80,008,929"
45,Draymond Green,GSW,"$24,026,712","$25,806,469","$27,586,225",,,,Bird Rights,"$49,833,181"
46,Nikola Vučević,CHI,"$24,000,000","$22,000,000",,,,,Bird Rights,"$46,000,000"
47,John Collins,ATL,"$23,000,000","$23,500,000","$25,340,000","$26,580,000","$26,580,000",,Bird,"$125,000,000"
48,Buddy Hield,IND,"$22,477,273","$20,522,727","$18,568,182",,,,1st Round pick,"$61,568,182"
49,Malcolm Brogdon,IND,"$21,700,000","$22,600,000","$21,634,615","$23,365,385",,,Sign and Trade,"$89,300,000"
50,Tim Hardaway Jr.,DAL,"$21,306,816","$19,602,273","$17,897,728","$16,193,183",,,Bird,"$75,000,000"
51,Mike Conley,UTA,"$21,000,000","$22,680,000","$24,360,000",,,,Bird,"$58,000,000"
52,Gary Harris,ORL,"$20,482,143",,,,,,1st Round Pick,"$20,482,143"
53,Danilo Gallinari,ATL,"$20,475,000","$21,450,000",,,,,Sign and Trade,"$25,475,000"
54,Harrison Barnes,SAC,"$20,284,091","$18,352,273",,,,,Bird Rights,"$38,636,364"
55,Jarrett Allen,CLE,"$20,000,000","$20,000,000","$20,000,000","$20,000,000","$20,000,000",,Bird,"$100,000,000"
56,Jerami Grant,DET,"$20,000,000","$20,952,381",,,,,Sign and Trade,"$40,952,381"
57,Julius Randle,NYK,"$19,800,000","$23,760,000","$25,660,800","$27,561,600","$29,462,400",,Cap Space,"$96,782,400"
58,Fred VanVleet,TOR,"$19,675,926","$21,250,000","$22,824,074",,,,Bird,"$40,925,926"
59,Zach LaVine,CHI,"$19,500,000",,,,,,Cap space,"$19,500,000"
60,Goran Dragić,SAS,"$20,168,742",,,,,,,"$19,440,000"
61,Bojan Bogdanović,UTA,"$18,700,000","$19,550,000",,,,,Cap Space,"$38,250,000"
62,Lonzo Ball,CHI,"$18,604,651","$19,534,884","$20,465,117","$21,395,348",,,Sign and Trade,"$58,604,652"
63,Domantas Sabonis,SAC,"$18,562,500","$19,937,500","$21,312,500",,,,1st Round pick,"$59,812,500"
64,Eric Gordon,HOU,"$18,218,818","$19,568,360","$20,917,902",,,,Cap Space,"$37,787,178"
65,Evan Fournier,NYK,"$18,139,535","$19,046,512","$19,953,488","$20,860,465",,,Sign and Trade,"$57,139,535"
66,Eric Bledsoe,POR,"$18,125,000","$19,375,000",,,,,Bird Rights,"$22,025,000"
67,Myles Turner,IND,"$18,000,000","$18,000,000",,,,,1st Round pick,"$36,000,000"
68,Bogdan Bogdanović,ATL,"$18,000,000","$18,000,000","$18,000,000",,,,Cap Space,"$36,000,000"
69,Terry Rozier,CHO,"$17,905,263","$21,486,316","$23,205,221","$24,924,126","$26,643,031",,Sign and Trade,"$114,163,957"
70,Ricky Rubio,IND,"$17,809,524",,,,,,Cap Space,"$17,809,524"
71,Caris LeVert,CLE,"$17,500,000","$18,796,296",,,,,1st Round pick,"$36,296,296"
72,Jonathan Isaac,ORL,"$17,400,000","$17,400,000","$17,400,000","$17,400,000",,,Bird,"$40,800,000"
73,Joe Harris,BRK,"$17,357,143","$18,642,857","$19,928,571",,,,Bird,"$55,928,571"
74,Spencer Dinwiddie,DAL,"$17,142,857","$18,000,000","$18,857,143",,,,Sign and Trade,"$45,142,857"
75,Clint Capela,ATL,"$17,103,448","$18,206,897","$20,616,000","$22,265,280",,,Bird Rights,"$78,191,625"
76,Steven Adams,MEM,"$17,073,171","$17,926,829",,,,,1st Round Pick,"$35,000,000"
77,Markelle Fultz,ORL,"$16,500,000","$16,500,000","$17,000,000",,,,Bird,"$35,000,000"
78,Aaron Gordon,DEN,"$16,409,091","$19,690,909","$21,266,182","$22,841,455","$22,841,455",,Bird Rights,"$80,207,637"
79,OG Anunoby,TOR,"$16,071,429","$17,357,143","$18,642,857","$19,928,571",,,Bird,"$52,071,429"
80,Dāvis Bertāns,DAL,"$16,000,000","$16,000,000","$17,000,000","$16,000,000",,,Bird,"$60,000,000"
81,Gary Trent Jr.,TOR,"$16,000,000","$17,280,000","$18,560,000",,,,Bird,"$33,280,000"
82,Lauri Markkanen,CLE,"$15,690,909","$16,475,454","$17,259,999","$18,044,544",,,Sign and Trade,"$55,426,362"
83,Marcus Morris,LAC,"$15,627,907","$16,372,093","$17,116,279",,,,Non Bird,"$49,116,279"
84,Duncan Robinson,MIA,"$15,560,000","$16,902,000","$18,154,000","$19,406,000","$19,888,000",,Bird,"$79,910,000"
85,Norman Powell,LAC,"$15,517,242","$16,758,621","$18,000,000","$19,241,379","$20,482,758",,Bird,"$90,000,000"
86,Dejounte Murray,SAS,"$15,428,571","$16,571,429","$17,714,286",,,,1st Round pick,"$49,714,286"
87,Will Barton,DEN,"$15,384,615","$16,615,385",,,,,Bird,"$32,000,000"
88,Derrick White,BOS,"$15,178,571","$16,392,857","$17,607,143","$18,821,429",,,Bird,"$68,000,000"
89,Taurean Prince,MIN,"$15,057,692",,,,,,1st Round pick,"$15,057,692"
90,Malik Beasley,MIN,"$14,391,964","$15,458,035","$16,524,106",,,,Bird,"$29,849,999"
91,Marcus Smart,BOS,"$14,339,285","$16,607,142","$18,583,713","$19,960,285","$21,336,856",,Bird Rights,"$90,827,281"
92,Patrick Beverley,MIN,"$14,320,988","$13,000,000",,,,,Bird Rights,"$27,320,988"
93,Thaddeus Young,TOR,"$14,190,000",,,,,,Cap space,"$14,190,000"
94,Jonas Valančiūnas,NOP,"$14,000,000","$14,700,000","$15,435,000",,,,Bird Rights,"$44,135,000"
95,Joe Ingles,POR,"$14,000,000",,,,,,Bird Rights,"$14,000,000"
96,Doug McDermott,SAS,"$13,750,000","$13,750,000","$13,750,000",,,,Sign and Trade,"$41,250,000"
97,Christian Wood,HOU,"$13,666,667","$14,317,459",,,,,Sign and Trade,"$27,984,126"
98,Derrick Rose,NYK,"$13,445,120","$14,520,730","$15,596,339",,,,Early Bird,"$27,965,850"
99,Brook Lopez,MIL,"$13,302,325","$13,906,976",,,,,Cap Space,"$27,209,301"
100,Kentavious Caldwell-Pope,WAS,"$13,038,862","$14,004,703",,,,,Early Bird,"$17,926,980"
101,Kyle Kuzma,WAS,"$13,000,000","$13,000,000","$13,000,000",,,,Bird,"$26,000,000"
102,Robert Covington,LAC,"$12,975,471",,,,,,Cap Space,"$12,975,471"
103,Luke Kennard,LAC,"$12,727,273","$13,745,455","$14,763,636","$14,763,636",,,Bird,"$41,236,364"
104,T.J. Warren,IND,"$12,690,000",,,,,,1st Round Pick,"$12,690,000"
105,Deandre Ayton,PHO,"$12,632,950",,,,,,1st Round Pick,"$12,632,950"
106,Terrence Ross,ORL,"$12,500,000","$11,500,000",,,,,Bird Rights,"$24,000,000"
107,Jordan Clarkson,UTA,"$12,420,000","$13,340,000","$14,260,000",,,,Bird,"$25,760,000"
108,Dillon Brooks,MEM,"$12,200,000","$11,400,000",,,,,MLE,"$23,600,000"
109,Kelly Olynyk,DET,"$12,195,122","$12,804,878","$12,195,122",,,,Cap Space,"$28,000,000"
110,Kelly Oubre Jr.,CHO,"$12,000,000","$12,600,000",,,,,Cap Space,"$17,000,000"
111,Josh Hart,POR,"$12,000,000","$12,960,000","$12,960,000",,,,Bird,"$12,000,000"
112,Jusuf Nurkić,POR,"$12,000,000",,,,,,Bird Rights,"$4,000,000"
113,Josh Richardson,SAS,"$11,615,328","$12,196,094",,,,,Minimum Salary,"$23,811,422"
114,Marvin Bagley III,DET,"$11,312,114",,,,,,1st Round Pick,"$11,312,114"
115,Devonte' Graham,NOP,"$11,000,000","$11,550,000","$12,100,000","$12,650,000",,,Sign and Trade,"$37,500,000"
116,Dwight Powell,DAL,"$11,000,000","$11,814,815",,,,,Cap Space,"$22,814,815"
117,Zion Williamson,NOP,"$10,733,400","$13,534,817",,,,,1st Round Pick,"$10,733,400"
118,Larry Nance Jr.,NOP,"$10,690,909","$9,672,727",,,,,1st Round pick,"$20,363,636"
119,Jeremy Lamb,SAC,"$10,500,000",,,,,,Cap Space,"$10,500,000"
120,Richaun Holmes,SAC,"$10,384,500","$11,215,260","$12,046,020","$12,876,780",,,Early Bird,"$33,645,780"
121,Reggie Jackson,LAC,"$10,384,500","$11,215,260",,,,,Early Bird,"$21,599,760"
122,Anthony Edwards,MIN,"$10,245,480","$10,733,400","$13,534,817",,,,1st Round Pick,"$20,978,880"
123,Luka Dončić,DAL,"$10,174,391","$35,700,000","$38,556,000","$41,412,000","$44,268,000","$47,124,000",1st Round Pick,"$217,234,391"
124,Cade Cunningham,DET,"$10,050,120","$10,552,800","$11,055,240","$13,940,658",,,1st Round Pick,"$20,602,920"
125,Tomáš Satoranský,SAS,"$10,468,119",,,,,,,"$10,000,000"
126,Danny Green,PHI,"$10,000,000","$10,000,000",,,,,Early Bird,"$10,000,000"
127,Kyle Anderson,MEM,"$9,937,150",,,,,,MLE,"$9,937,150"
128,Serge Ibaka,MIL,"$9,742,000",,,,,,MLE,"$9,742,000"
129,Jae Crowder,PHO,"$9,720,900","$10,183,800",,,,,MLE,"$19,904,700"
130,Derrick Favors,OKC,"$9,720,900","$10,183,800",,,,,MLE,"$9,720,900"
131,Tristan Thompson,IND,"$10,720,900",,,,,,,"$9,720,900"
132,Montrezl Harrell,CHO,"$9,720,900",,,,,,MLE,"$9,720,900"
133,Derrick Jones Jr.,CHI,"$9,720,900",,,,,,MLE,"$9,720,900"
134,Ja Morant,MEM,"$9,603,360","$12,119,440",,,,,1st Round Pick,"$21,722,800"
135,Reggie Bullock,DAL,"$9,536,000","$10,012,800","$10,489,600",,,,MLE,"$25,000,000"
136,Alec Burks,NYK,"$9,536,000","$10,012,800","$10,489,600",,,,Cap Space,"$19,548,800"
137,Talen Horton-Tucker,LAL,"$9,500,000","$10,260,000","$11,020,000",,,,Early Bird,"$19,760,000"
138,Jaren Jackson Jr.,MEM,"$9,180,560","$23,437,500","$25,312,500","$27,187,500","$29,062,500",,1st Round Pick,"$114,180,560"
139,James Wiseman,GSW,"$9,166,800","$9,603,360","$12,119,440",,,,1st Round Pick,"$18,770,160"
140,Nicolas Batum,CHO,"$12,213,507","$12,372,008",,,,,,"$18,086,956"
141,Dario Šarić,PHO,"$9,000,000","$9,666,667",,,,,Bird,"$18,666,667"
142,Jalen Green,HOU,"$8,992,200","$9,441,720","$9,891,600","$12,483,199",,,1st Round Pick,"$18,433,920"
143,Nerlens Noel,NYK,"$8,800,000","$9,240,000","$9,680,000",,,,Cap Space,"$18,040,000"
144,Jakob Poeltl,SAS,"$8,750,000","$9,398,148",,,,,Bird,"$18,148,148"
145,Maxi Kleber,DAL,"$8,750,000","$9,000,000",,,,,Early Bird Rights,"$8,750,000"
146,Thomas Bryant,WAS,"$8,730,159",,,,,,Early Bird Rights,"$8,730,159"
147,Kemba Walker,NYK,"$34,967,442","$36,596,549",,,,,Cap Space,"$17,894,491"
148,Royce O'Neale,UTA,"$8,678,571","$9,321,429","$9,964,286",,,,Cap space,"$27,964,286"
149,RJ Barrett,NYK,"$8,623,920","$10,900,635",,,,,1st Round Pick,"$19,524,555"
